Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,90,7,3,0,6,0,0,1,1,31,10,9.0,18/10/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,4,9,2,2,0,0,0,0,24,12,7.5,18/10/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,2,0,0,4,0,1,4,8,15,15,6.0,18/10/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,81,9,7,0,0,0,0,0,3,9,9,9.0,18/10/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,9,6,0,4,0,0,0,0,22,10,9.0,18/10/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,8,0,0,0,0,0,0,0,30,18,5.0,18/10/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,1,1,0,1,0,2,1,14,5,18.0,18/10/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,4,5,1,2,0,0,0,1,26,14,6.4,18/10/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,4,4,0,4,0,0,0,0,8,8,11.3,18/10/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,2,0,0,2,0,0,0,22,10,9.0,18/10/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,9,0,0,0,0,0,0,0,0,2,2,4.5,18/10/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,3,2,0,0,1,0,0,0,1,1,90.0,18/10/2020
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,4,3,1,0,0,0,0,3,8,8,11.3,18/10/2020
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,8,3,0,2,0,0,0,1,5,5,18.0,18/10/2020
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,12,1,0,1,0,0,0,0,0,5,5,2.4,18/10/2020
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,3,8,0,4,0,0,0,0,10,10,9.0,18/10/2020
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,90,6,12,1,2,0,0,0,0,17,17,5.3,18/10/2020
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,71,1,1,0,0,0,0,2,2,3,3,23.7,18/10/2020
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,90,3,6,1,0,0,0,1,1,11,11,8.2,18/10/2020
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,22,2,0,0,0,1,0,1,0,2,2,11.0,18/10/2020
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,78,7,4,0,4,0,0,0,0,14,14,5.6,18/10/2020
"Praet  Dennis Praet (Leicester City, Midfielder)",LEI,5.0,68,2,0,0,0,0,0,0,0,2,2,34.0,18/10/2020
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,90,1,3,0,0,1,0,2,1,4,4,22.5,18/10/2020
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,10,0,0,0,0,0,0,0,15,15,6.0,18/10/2020
"Slimani  Islam Slimani (Leicester City, Forward)",LEI,4.9,19,1,0,0,0,0,0,1,0,3,3,6.3,18/10/2020
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,9,3,0,2,0,0,0,1,8,8,11.3,18/10/2020
