Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,0.05,-0.05,1800.0,1,0.19,0.81,473.7,0.24,0.76,375.0,18/10/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,18/10/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,0,0.34,-0.34,264.7,0,0.0,0.0,inf,0.34,-0.34,264.7,18/10/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,0,0.0,0.0,inf,0,0.09,-0.09,900.0,0.09,-0.09,900.0,18/10/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.2,-0.2,450.0,0.2,-0.2,450.0,18/10/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,0.09,0.91,1000.0,0,0.02,-0.02,4500.0,0.11,0.89,818.2,18/10/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.01,-0.01,9000.0,0,0.03,-0.03,3000.0,0.04,-0.04,2250.0,18/10/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.23,-0.23,391.3,0,0.09,-0.09,1000.0,0.32,-0.32,281.3,18/10/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.0,0.0,inf,0,0.05,-0.05,180.0,0.05,-0.05,180.0,18/10/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.06,-0.06,1500.0,0,0.07,-0.07,1285.7,0.13,-0.13,692.3,18/10/2020
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,0,0.02,-0.02,4500.0,0,0.09,-0.09,1000.0,0.11,-0.11,818.2,18/10/2020
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,18/10/2020
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,0,0.01,-0.01,1200.0,0,0.0,0.0,inf,0.01,-0.01,1200.0,18/10/2020
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,0,0.03,-0.03,2366.7,0,0.03,-0.03,2366.7,0.06,-0.06,1183.3,18/10/2020
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,0,0.02,-0.02,1100.0,0,0.1,-0.1,220.0,0.12,-0.12,183.3,18/10/2020
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,0,0.01,-0.01,7800.0,0,0.0,0.0,inf,0.01,-0.01,7800.0,18/10/2020
"Praet  Dennis Praet (Leicester City, Midfielder)",LEI,5.0,0,0.01,-0.01,6800.0,0,0.0,0.0,inf,0.01,-0.01,6800.0,18/10/2020
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.09,-0.09,1000.0,0,0.18,-0.18,500.0,0.27,-0.27,333.3,18/10/2020
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/10/2020
"Slimani  Islam Slimani (Leicester City, Forward)",LEI,4.9,0,0.04,-0.04,475.0,0,0.06,-0.06,316.7,0.1,-0.1,190.0,18/10/2020
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.05,-0.05,1800.0,0,0.1,-0.1,900.0,0.15,-0.15,600.0,18/10/2020
