Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,0,0.42,-0.42,214.3,0,0.0,0.0,inf,0.42,-0.42,214.3,17/10/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,0,0.06,-0.06,1150.0,0,0.0,0.0,inf,0.06,-0.06,1150.0,17/10/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/10/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,17/10/2020
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,0,0.0,0.0,inf,0,0.18,-0.18,461.1,0.18,-0.18,461.1,17/10/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.03,-0.03,3000.0,0,0.49,-0.49,183.7,0.52,-0.52,173.1,17/10/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,17/10/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,0,0.03,-0.03,2766.7,0,0.0,0.0,inf,0.03,-0.03,2766.7,17/10/2020
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,17/10/2020
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,0,0.12,-0.12,541.7,0,0.07,-0.07,928.6,0.19,-0.19,342.1,17/10/2020
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/10/2020
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,17/10/2020
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,0,0.04,-0.04,2225.0,0,0.67,-0.67,132.8,0.71,-0.71,125.4,17/10/2020
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/10/2020
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,0,0.02,-0.02,1250.0,0,0.0,0.0,inf,0.02,-0.02,1250.0,17/10/2020
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,17/10/2020
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/10/2020
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,0,0.15,-0.15,600.0,0,0.3,-0.3,300.0,0.45,-0.45,200.0,17/10/2020
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/10/2020
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,0,0.12,-0.12,750.0,1,0.34,0.66,264.7,0.46,0.54,195.7,17/10/2020
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,17/10/2020
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/10/2020
