Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,0.14,-0.14,642.9,0,0.09,-0.09,1000.0,0.23,-0.23,391.3,23/10/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/10/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,0,0.2,-0.2,450.0,0,0.73,-0.73,123.3,0.93,-0.93,96.8,23/10/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,0,0.01,-0.01,6600.0,0,0.14,-0.14,471.4,0.15,-0.15,440.0,23/10/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.08,-0.08,1125.0,0.08,-0.08,1125.0,23/10/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/10/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,0,0.05,-0.05,1800.0,0,0.05,-0.05,1800.0,0.1,-0.1,900.0,23/10/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/10/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/10/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,23/10/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/10/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.2,-0.2,450.0,0,0.29,-0.29,310.3,0.49,-0.49,183.7,23/10/2020
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,0.35,-0.35,257.1,0,0.06,-0.06,1500.0,0.41,-0.41,219.5,23/10/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/10/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,0,0.06,-0.06,1500.0,3,1.56,1.44,57.7,1.62,1.38,55.6,23/10/2020
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,1,0.18,0.82,461.1,0,0.08,-0.08,1037.5,0.26,0.74,319.2,23/10/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,0,0.04,-0.04,2250.0,0,0.11,-0.11,818.2,0.15,-0.15,600.0,23/10/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,0,0.01,-0.01,700.0,0,0.08,-0.08,87.5,0.09,-0.09,77.8,23/10/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,0,0.63,-0.63,142.9,0,0.11,-0.11,818.2,0.74,-0.74,121.6,23/10/2020
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,0,0.05,-0.05,220.0,0,0.38,-0.38,28.9,0.43,-0.43,25.6,23/10/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,1,0.35,0.65,257.1,0,0.05,-0.05,1800.0,0.4,0.6,225.0,23/10/2020
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.1,-0.1,900.0,0.1,-0.1,900.0,23/10/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/10/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,0,0.18,-0.18,438.9,0,0.26,-0.26,303.8,0.44,-0.44,179.5,23/10/2020
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,0,0.15,-0.15,460.0,0,0.0,0.0,inf,0.15,-0.15,460.0,23/10/2020
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,0.05,-0.05,420.0,0,0.0,0.0,inf,0.05,-0.05,420.0,23/10/2020
