Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.15,-0.15,600.0,0,0.01,-0.01,9000.0,0.16,-0.16,562.5,24/10/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.07,-0.07,1185.7,1,0.92,0.08,90.2,0.99,0.01,83.8,24/10/2020
"Gomez  Joseph Gomez (Liverpool, Defender)",LIV,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,24/10/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,0,0.39,-0.39,230.8,0,0.06,-0.06,1500.0,0.45,-0.45,200.0,24/10/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,1,0.18,0.82,500.0,0,0.35,-0.35,257.1,0.53,0.47,169.8,24/10/2020
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,24/10/2020
"Minamino  Takumi Minamino (Liverpool, Midfielder)",LIV,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,24/10/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,24/10/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.03,-0.03,3000.0,0,0.05,-0.05,1800.0,0.08,-0.08,1125.0,24/10/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.06,-0.06,1500.0,0,0.77,-0.77,116.9,0.83,-0.83,108.4,24/10/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,24/10/2020
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,0,0.02,-0.02,4150.0,1,0.25,0.75,332.0,0.27,0.73,307.4,24/10/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.03,-0.03,3000.0,0,0.08,-0.08,1125.0,0.11,-0.11,818.2,24/10/2020
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,0.05,-0.05,1800.0,0,0.03,-0.03,3000.0,0.08,-0.08,1125.0,24/10/2020
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.11,-0.11,818.2,0,0.06,-0.06,1500.0,0.17,-0.17,529.4,24/10/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.03,-0.03,3000.0,0,0.07,-0.07,1285.7,0.1,-0.1,900.0,24/10/2020
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,0,0.05,-0.05,1800.0,1,0.83,0.17,108.4,0.88,0.12,102.3,24/10/2020
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,0,0.02,-0.02,2700.0,0,0.0,0.0,inf,0.02,-0.02,2700.0,24/10/2020
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,0.0,0.0,inf,0,0.1,-0.1,360.0,0.1,-0.1,360.0,24/10/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.01,-0.01,9000.0,0,0.05,-0.05,1800.0,0.06,-0.06,1500.0,24/10/2020
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.08,-0.08,950.0,0,0.0,0.0,inf,0.08,-0.08,950.0,24/10/2020
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,0,0.1,-0.1,900.0,0,0.27,-0.27,333.3,0.37,-0.37,243.2,24/10/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.01,-0.01,1400.0,0,0.04,-0.04,350.0,0.05,-0.05,280.0,24/10/2020
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,0.03,-0.03,3000.0,0,0.06,-0.06,1500.0,0.09,-0.09,1000.0,24/10/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,24/10/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,24/10/2020
