Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,19,1,0,1,0,0,0,0,0,3,3,6.3,24/10/2020
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,5,5,0,4,0,0,0,0,24,12,7.5,24/10/2020
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,90,6,3,0,4,0,0,2,2,28,16,5.6,24/10/2020
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,90,9,0,2,4,0,0,0,0,14,14,6.4,24/10/2020
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,72,4,1,0,2,0,0,1,1,3,3,24.0,24/10/2020
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,90,5,4,4,2,0,0,0,2,32,20,4.5,24/10/2020
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,90,7,4,0,4,0,0,0,0,12,12,7.5,24/10/2020
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,90,5,0,0,0,0,0,0,0,27,15,6.0,24/10/2020
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,18,2,2,0,0,1,0,0,0,3,3,6.0,24/10/2020
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,81,4,3,0,0,0,0,0,1,7,7,11.6,24/10/2020
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,71,2,1,0,0,0,0,0,0,5,5,14.2,24/10/2020
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,9,2,0,0,0,0,0,0,0,2,2,4.5,24/10/2020
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,90,7,9,1,6,0,0,1,0,33,21,4.3,24/10/2020
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,90,3,10,0,6,0,0,0,0,29,17,5.3,24/10/2020
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,90,4,4,1,2,2,0,4,0,14,14,6.4,24/10/2020
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,32,0,1,0,0,0,0,0,0,2,2,16.0,24/10/2020
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,90,6,0,0,0,0,0,0,0,22,10,9.0,24/10/2020
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,7,1,0,0,0,1,0,1,2,4,4,1.8,24/10/2020
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,58,1,0,0,0,0,0,1,0,1,1,58.0,24/10/2020
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,90,8,8,0,4,0,0,1,0,29,17,5.3,24/10/2020
"Mata  Juan Mata (Manchester United, Midfielder)",MUN,5.0,58,3,0,0,4,0,0,3,0,10,10,5.8,24/10/2020
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,83,7,5,0,2,0,0,0,1,10,10,8.3,24/10/2020
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,90,4,4,0,4,0,0,1,1,26,14,6.4,24/10/2020
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,32,2,0,1,6,0,0,0,1,11,11,2.9,24/10/2020
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,90,0,0,0,2,0,0,1,1,0,0,0.0,24/10/2020
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,90,10,6,0,4,0,0,0,0,9,9,10.0,24/10/2020
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,5,1,0,4,0,0,0,1,19,7,12.9,24/10/2020
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,7,6,1,4,0,0,0,1,28,16,5.6,24/10/2020
