Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,0.22,-0.22,409.1,0,0.1,-0.1,900.0,0.32,-0.32,281.3,01/11/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,0,0.01,-0.01,2300.0,0,0.0,0.0,inf,0.01,-0.01,2300.0,01/11/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,1,0.38,0.62,236.8,1,0.45,0.55,200.0,0.83,1.17,108.4,01/11/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,0,0.01,-0.01,6100.0,0,0.21,-0.21,290.5,0.22,-0.22,277.3,01/11/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.07,-0.07,1285.7,0.07,-0.07,1285.7,01/11/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,01/11/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.01,-0.01,9000.0,1,0.23,0.77,391.3,0.24,0.76,375.0,01/11/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,0.09,0.91,1000.0,0,0.03,-0.03,3000.0,0.12,0.88,750.0,01/11/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.11,-0.11,818.2,0,0.0,0.0,inf,0.11,-0.11,818.2,01/11/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.0,0.0,inf,0,0.04,-0.04,725.0,0.04,-0.04,725.0,01/11/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.04,-0.04,2250.0,1,0.89,0.11,101.1,0.93,0.07,96.8,01/11/2020
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,01/11/2020
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,1,0.01,0.99,9000.0,0,0.06,-0.06,1500.0,0.07,0.93,1285.7,01/11/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.04,-0.04,1975.0,0,0.0,0.0,inf,0.04,-0.04,1975.0,01/11/2020
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.02,-0.02,4250.0,1,0.15,0.85,566.7,0.17,0.83,500.0,01/11/2020
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,01/11/2020
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,1,0.14,0.86,642.9,0.14,0.86,642.9,01/11/2020
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,01/11/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/11/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,1,0.24,0.76,375.0,2,0.28,1.72,321.4,0.52,2.48,173.1,01/11/2020
