Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,0,0.01,-0.01,9000.0,1,0.03,0.97,3000.0,0.04,0.96,2250.0,02/11/2020
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,0,0.0,0.0,inf,0,0.02,-0.02,4500.0,0.02,-0.02,4500.0,02/11/2020
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"Cairney  Tom Cairney (Fulham, Midfielder)",FUL,5.2,0,0.04,-0.04,2250.0,0,0.07,-0.07,1285.7,0.11,-0.11,818.2,02/11/2020
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,0,0.01,-0.01,8500.0,1,1.08,-0.08,78.7,1.09,-0.09,78.0,02/11/2020
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,0,0.05,-0.05,900.0,0,0.0,0.0,inf,0.05,-0.05,900.0,02/11/2020
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,0,0.05,-0.05,1780.0,0,0.13,-0.13,684.6,0.18,-0.18,494.4,02/11/2020
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,2,0.41,1.59,219.5,0,0.0,0.0,inf,0.41,1.59,219.5,02/11/2020
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,02/11/2020
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,0,0.24,-0.24,375.0,0,0.0,0.0,inf,0.24,-0.24,375.0,02/11/2020
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,0.02,-0.02,4500.0,0,0.13,-0.13,692.3,0.15,-0.15,600.0,02/11/2020
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,02/11/2020
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,0,0.0,0.0,inf,0,0.06,-0.06,933.3,0.06,-0.06,933.3,02/11/2020
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,0,0.01,-0.01,9000.0,0,0.08,-0.08,1125.0,0.09,-0.09,1000.0,02/11/2020
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,02/11/2020
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,02/11/2020
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,0,0.02,-0.02,4500.0,0,0.11,-0.11,818.2,0.13,-0.13,692.3,02/11/2020
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,02/11/2020
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"Krovinovic  Filip Krovinovic (West Bromwich Albion, Midfielder)",WBA,4.9,0,0.01,-0.01,7000.0,0,0.04,-0.04,1750.0,0.05,-0.05,1400.0,02/11/2020
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,0,0.07,-0.07,800.0,0,0.0,0.0,inf,0.07,-0.07,800.0,02/11/2020
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,0.15,-0.15,133.3,0,0.0,0.0,inf,0.15,-0.15,133.3,02/11/2020
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,0,0.01,-0.01,3400.0,0,0.15,-0.15,226.7,0.16,-0.16,212.5,02/11/2020
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/11/2020
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,0,0.06,-0.06,1500.0,0,0.05,-0.05,1800.0,0.11,-0.11,818.2,02/11/2020
