Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,MID,False
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,1,0,TOT,7,01/11/2020,DEF,False
"Bernardo  Bernardo Fernandes da Silva Junior (Brighton and Hove Albion, Defender)",BHA,4.0,0,24,1,0,0,0,0,0,0,1,0,0,0,TOT,7,01/11/2020,DEF,False
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,1,90,0,0,0,1,0,1,0,2,0,0,0,TOT,7,01/11/2020,MID,False
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,MID,False
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,1,79,0,1,1,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,DEF,False
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,11,1,0,0,0,0,0,0,0,0,0,0,TOT,7,01/11/2020,MID,False
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,66,0,1,0,0,0,0,0,1,0,0,0,TOT,7,01/11/2020,MID,False
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,GKP,False
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,74,0,1,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,MID,False
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,DEF,False
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,DEF,False
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,0,16,1,0,0,0,0,0,0,0,0,0,0,TOT,7,01/11/2020,FWD,False
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,7,01/11/2020,DEF,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,DEF,True
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,0,20,1,0,1,0,0,0,0,0,0,0,0,BHA,7,01/11/2020,MID,True
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,0,5,1,0,0,0,0,0,0,0,0,0,0,BHA,7,01/11/2020,DEF,True
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,DEF,True
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,1,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,FWD,True
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,1,70,0,1,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,MID,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,GKP,True
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,0,26,1,0,0,0,0,0,0,0,0,0,0,BHA,7,01/11/2020,MID,True
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,64,0,1,0,0,0,0,0,1,0,1,0,BHA,7,01/11/2020,MID,True
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,1,0,1,0,1,0,1,0,BHA,7,01/11/2020,DEF,True
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,85,0,1,0,0,0,0,0,1,0,0,0,BHA,7,01/11/2020,MID,True
