Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,90,1,0,0,0,1,0,2,0,7,7,12.9,08/11/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,90,4,7,0,4,0,0,0,1,11,11,8.2,08/11/2020
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,65,3,0,0,4,0,0,1,1,11,11,5.9,08/11/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,45,7,1,0,4,0,0,0,1,4,4,11.3,08/11/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,90,5,1,0,6,0,0,1,0,12,12,7.5,08/11/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,10,5,1,4,0,0,0,0,16,16,5.6,08/11/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,65,0,0,0,0,0,0,0,0,0,0,0.0,08/11/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,1,0,0,0,0,0,0,0,12,12,7.5,08/11/2020
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,25,2,0,0,0,0,0,2,1,4,4,6.3,08/11/2020
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,45,3,1,0,4,0,0,0,2,6,6,7.5,08/11/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,25,0,0,0,0,0,0,0,1,2,2,12.5,08/11/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,90,4,2,0,4,0,0,0,0,2,2,45.0,08/11/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,90,4,3,0,4,1,1,2,1,16,16,5.6,08/11/2020
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,8,9,0,4,0,0,0,0,14,14,6.4,08/11/2020
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,90,4,0,0,4,0,1,6,3,29,20,4.5,08/11/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,0,10,1,4,0,0,0,0,27,15,6.0,08/11/2020
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,2,0,0,1,0,0,0,0,0,4,4,0.5,08/11/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,6,1,0,4,0,1,2,2,25,16,5.6,08/11/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,88,8,4,0,0,0,0,0,0,6,6,14.7,08/11/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,6,6,0,4,0,0,0,0,27,15,6.0,08/11/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,7,1,0,0,0,0,0,0,24,12,7.5,08/11/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,2,0,4,1,0,3,4,19,19,4.7,08/11/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,5,5,0,2,0,0,0,0,22,10,9.0,08/11/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,5,2,0,4,1,0,2,0,11,11,8.2,08/11/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,5,0,2,0,0,1,0,33,12,7.5,08/11/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,3,1,1,0,0,0,0,3,59,11,8.2,08/11/2020
