Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,11,2,0,6,0,0,0,1,7,7,12.9,06/11/2020
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,1,3,1,2,1,0,1,1,22,10,9.0,06/11/2020
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,4,1,0,0,0,0,0,0,0,3,3,1.3,06/11/2020
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,4,1,0,4,4,0,3,1,17,17,5.3,06/11/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,7,2,0,1,0,0,0,0,0,5,5,1.4,06/11/2020
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,5,0,0,4,1,1,3,4,20,20,4.5,06/11/2020
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,0,2,4,3,0,1,2,24,12,7.5,06/11/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,90,4,1,0,6,0,0,0,0,8,8,11.3,06/11/2020
"Mat Ryan  Mathew Ryan (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,6,0,0,4,0,0,0,0,27,15,6.0,06/11/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,83,6,2,1,2,2,0,3,1,31,19,4.4,06/11/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,9,1,0,2,0,0,0,0,20,8,11.3,06/11/2020
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,86,3,1,0,0,0,1,3,1,7,7,12.3,06/11/2020
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,7,6,0,4,0,0,0,1,27,15,6.0,06/11/2020
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,70,2,4,0,0,0,0,1,0,2,2,35.0,06/11/2020
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,90,6,5,4,0,0,0,0,1,16,16,5.6,06/11/2020
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,12,1,2,4,0,0,0,1,18,18,5.0,06/11/2020
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,7,5,0,0,1,0,0,1,24,12,7.5,06/11/2020
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,5,2,0,2,2,0,1,2,14,14,6.4,06/11/2020
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,3,11,1,4,0,0,0,0,29,17,5.3,06/11/2020
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,13,3,0,0,0,0,0,0,29,17,5.3,06/11/2020
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,20,0,0,0,0,0,0,0,0,3,3,6.7,06/11/2020
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,1,8,0,4,0,0,0,0,25,13,6.9,06/11/2020
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,90,4,12,1,2,1,0,1,0,29,17,5.3,06/11/2020
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,6,0,1,0,0,0,0,0,0,3,3,2.0,06/11/2020
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,5,3,0,4,0,0,0,0,11,11,8.2,06/11/2020
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,84,1,0,0,0,0,0,0,0,5,5,16.8,06/11/2020
