Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,85,9,1,1,0,0,0,1,3,32,8,10.6,07/11/2020
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,5,1,0,0,0,0,0,0,0,3,3,1.7,07/11/2020
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,90,6,8,0,0,0,0,0,0,12,12,7.5,07/11/2020
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,4,10,0,0,0,0,0,0,24,12,7.5,07/11/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,9,4,0,4,0,1,2,0,46,16,5.6,07/11/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,6,0,0,0,0,0,0,0,12,12,7.5,07/11/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,4,9,0,0,0,0,0,1,12,12,7.5,07/11/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,90,4,3,1,0,0,0,0,1,5,5,18.0,07/11/2020
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,13,1,0,0,0,0,0,0,0,3,3,4.3,07/11/2020
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,77,5,3,0,0,0,0,0,0,6,6,12.8,07/11/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,19,2,1,0,0,0,1,1,0,7,7,2.7,07/11/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,71,7,3,0,0,0,0,0,1,5,5,14.2,07/11/2020
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,11,2,1,2,0,0,1,1,21,12,7.5,07/11/2020
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,4,1,0,4,0,1,3,1,15,6,15.0,07/11/2020
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,5,0,0,4,0,0,0,0,9,9,10.0,07/11/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,9,2,0,4,0,0,0,1,14,14,6.4,07/11/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,1,0,0,0,0,0,0,1,28,4,22.5,07/11/2020
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,11,7,4,4,0,0,0,0,17,17,5.3,07/11/2020
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,45,5,1,0,0,0,0,0,1,-5,-5,0.0,07/11/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,5,2,2,2,0,0,0,0,11,11,8.2,07/11/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,45,4,1,1,0,0,0,0,1,5,5,9.0,07/11/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,5,2,0,0,0,0,1,3,8,8,11.3,07/11/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,5,1,1,4,1,1,4,1,21,12,7.5,07/11/2020
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,90,6,10,0,4,0,0,1,0,16,16,5.6,07/11/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,9,0,0,0,0,0,0,0,12,12,7.5,07/11/2020
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,19,3,0,0,0,0,0,0,0,3,3,6.3,07/11/2020
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,71,5,1,1,4,0,0,1,0,11,11,6.5,07/11/2020
