Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,1,85,0,1,1,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,FWD,True
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,5,1,0,0,0,0,0,0,0,0,0,0,LEE,8,07/11/2020,FWD,True
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,DEF,True
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,1,90,0,0,1,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,DEF,True
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,1,90,0,0,1,1,0,1,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,GKP,True
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,0,13,1,0,0,0,0,0,0,0,0,0,0,LEE,8,07/11/2020,MID,True
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,1,77,0,1,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,19,1,0,0,0,0,0,0,0,0,0,0,LEE,8,07/11/2020,MID,True
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,1,71,0,1,0,0,0,0,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,1,90,0,0,0,0,1,1,0,1,0,0,0,LEE,8,07/11/2020,DEF,True
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,1,90,0,0,0,1,0,1,0,1,0,0,0,LEE,8,07/11/2020,MID,True
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,DEF,False
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,DEF,False
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,90,0,0,1,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,FWD,False
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,4,0,1,0,CRY,8,07/11/2020,DEF,False
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,1,45,0,1,0,0,0,0,0,3,1,0,0,CRY,8,07/11/2020,MID,False
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,DEF,False
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,0,45,1,0,0,0,0,0,0,1,0,0,0,CRY,8,07/11/2020,MID,False
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,MID,False
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,1,90,0,0,0,1,0,1,0,4,0,1,0,CRY,8,07/11/2020,MID,False
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,DEF,False
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,GKP,False
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,0,19,1,0,0,0,0,0,0,0,0,0,0,CRY,8,07/11/2020,MID,False
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,1,71,0,1,0,0,0,0,0,4,0,0,0,CRY,8,07/11/2020,DEF,False
