Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,45,3,3,1,0,1,0,1,0,8,8,5.6,08/11/2020
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,18,1,0,0,0,0,0,0,0,2,2,9.0,08/11/2020
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,4,5,0,2,0,0,0,0,18,6,15.0,08/11/2020
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,90,6,5,1,4,0,0,1,0,25,13,6.9,08/11/2020
"Fuchs  Christian Fuchs (Leicester City, Defender)",LEI,4.5,90,8,8,0,2,0,0,0,0,24,12,7.5,08/11/2020
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,90,7,0,1,2,0,0,1,0,21,9,10.0,08/11/2020
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,72,4,0,0,4,0,0,2,2,10,10,7.2,08/11/2020
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,90,11,1,2,6,0,0,0,1,20,20,4.5,08/11/2020
"Morgan  Wes Morgan (Leicester City, Defender)",LEI,4.4,10,1,0,0,0,0,0,0,0,3,3,3.3,08/11/2020
"Praet  Dennis Praet (Leicester City, Midfielder)",LEI,5.0,80,2,1,1,4,0,0,0,0,18,9,8.9,08/11/2020
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,4,0,0,0,0,0,0,0,23,11,8.2,08/11/2020
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,45,2,0,0,0,0,0,0,1,-1,-1,0.0,08/11/2020
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,8,1,0,6,0,0,1,1,10,10,9.0,08/11/2020
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,1,1,0,0,0,0,0,0,20,-7,0.0,08/11/2020
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,76,3,1,1,2,1,0,0,1,6,6,12.7,08/11/2020
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,6,0,4,0,0,1,2,18,18,5.0,08/11/2020
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,5,3,0,6,0,0,0,1,14,14,6.4,08/11/2020
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,4,0,1,2,1,0,0,0,4,4,22.5,08/11/2020
"Raúl Jiménez  Raul Alonso Jimenez Rodriguez (Wolverhampton Wanderers, Forward)",WOL,7.5,90,7,1,1,2,0,0,0,0,6,6,15.0,08/11/2020
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,90,7,1,0,4,0,0,0,0,3,3,30.0,08/11/2020
"Marçal  Fernando Marçal de Oliveira (Wolverhampton Wanderers, Defender)",WOL,4.5,14,1,0,1,0,1,0,0,0,5,5,2.8,08/11/2020
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,79,6,3,0,0,2,0,1,1,9,9,8.8,08/11/2020
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,60,1,0,0,0,0,0,2,0,3,3,20.0,08/11/2020
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,5,1,0,4,0,0,2,0,8,8,11.3,08/11/2020
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,11,0,0,0,0,0,0,0,0,2,2,5.5,08/11/2020
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,30,0,0,0,0,0,0,0,1,3,3,10.0,08/11/2020
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,8,5,0,6,0,1,1,0,15,15,6.0,08/11/2020
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,5,0,0,0,0,0,0,0,26,26,3.5,08/11/2020
