Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,90,7,3,0,0,0,0,0,1,0,0,0.0,06/11/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,11,2,0,0,0,0,0,0,0,2,2,5.5,06/11/2020
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,12,0,1,0,0,0,0,0,0,2,2,6.0,06/11/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,4,1,0,0,0,0,0,0,17,17,5.3,06/11/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,5,5,1,4,0,0,0,0,11,11,8.2,06/11/2020
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,61,7,0,0,0,0,0,0,0,4,4,15.3,06/11/2020
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,90,7,7,0,4,0,0,0,0,14,14,6.4,06/11/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,90,7,2,2,4,2,0,2,1,21,21,4.3,06/11/2020
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,6,0,0,2,0,0,1,0,0,0,0.0,06/11/2020
"Longstaff (Matthew)  Matthew Longstaff (Newcastle United, Midfielder)",NEW,4.5,29,2,1,0,0,0,0,0,0,3,3,9.7,06/11/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,79,3,0,1,0,0,0,0,2,1,1,79.0,06/11/2020
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,90,6,0,1,0,1,0,0,4,6,6,15.0,06/11/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,90,11,6,0,4,0,0,0,1,15,15,6.0,06/11/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,78,1,3,0,0,0,0,0,0,4,4,19.5,06/11/2020
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,90,4,1,0,0,0,0,0,1,29,2,45.0,06/11/2020
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,8,4,3,2,0,0,1,2,31,13,6.9,06/11/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,6,5,1,2,0,0,0,0,26,14,6.4,06/11/2020
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,74,4,1,1,2,0,0,1,1,11,11,6.7,06/11/2020
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,2,0,0,0,0,0,0,0,0,3,3,0.7,06/11/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,90,4,0,0,0,0,0,0,0,23,11,8.2,06/11/2020
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,16,0,0,0,0,0,0,1,0,4,4,4.0,06/11/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,90,11,2,2,4,1,0,3,0,17,17,5.3,06/11/2020
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,90,3,1,2,4,0,0,2,0,29,17,5.3,06/11/2020
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,2,2,1,4,0,0,1,0,25,13,6.9,06/11/2020
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,88,4,0,0,0,0,0,1,3,14,5,17.6,06/11/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,8,4,3,4,0,0,0,2,33,21,4.3,06/11/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,11,3,1,4,0,0,2,0,13,13,6.9,06/11/2020
