Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,67,6,1,0,4,0,0,1,0,8,8,8.4,23/11/2020
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,17,2,0,0,0,0,0,0,0,3,3,5.7,23/11/2020
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,3,7,1,4,0,0,0,0,15,15,6.0,23/11/2020
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,8,1,2,0,0,0,0,0,17,5,18.0,23/11/2020
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,4,1,0,4,0,1,2,0,12,12,7.5,23/11/2020
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,7,7,0,0,0,0,0,0,23,11,8.2,23/11/2020
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,6,0,0,0,0,0,0,0,0,1,1,6.0,23/11/2020
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,8,0,0,0,0,0,0,0,30,18,5.0,23/11/2020
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,90,6,2,1,0,0,1,1,2,15,6,15.0,23/11/2020
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,2,5,0,2,0,0,1,0,20,8,11.3,23/11/2020
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,90,5,3,0,2,1,0,1,2,24,12,7.5,23/11/2020
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,8,3,0,2,0,0,0,0,10,10,9.0,23/11/2020
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,90,1,0,0,0,0,0,2,0,26,-1,0.0,23/11/2020
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,77,1,0,0,0,0,0,0,3,8,8,9.6,23/11/2020
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,90,2,0,0,0,0,0,2,1,-1,-1,0.0,23/11/2020
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,13,0,0,0,0,0,0,0,0,-3,-3,0.0,23/11/2020
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,90,6,1,0,4,0,0,0,0,12,12,7.5,23/11/2020
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,10,5,1,4,0,0,1,0,14,14,6.4,23/11/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,6,0,0,2,0,0,1,5,12,12,7.5,23/11/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,14,3,0,0,0,0,0,0,18,18,5.0,23/11/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,8,6,1,2,0,1,2,1,18,18,5.0,23/11/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,90,6,2,0,2,0,0,2,0,9,9,10.0,23/11/2020
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,67,0,2,0,0,0,0,3,0,9,9,7.4,23/11/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,23,0,0,0,0,0,0,0,0,2,2,11.5,23/11/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,90,6,0,1,2,3,0,3,3,19,19,4.7,23/11/2020
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,4,2,0,4,0,0,0,0,10,10,9.0,23/11/2020
