Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,2,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,FWD,False
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,16,1,0,0,0,0,0,0,0,0,0,0,FUL,9,22/11/2020,MID,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,2,0,2,0,2,0,0,0,FUL,9,22/11/2020,DEF,False
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,90,0,0,1,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,MID,False
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,DEF,False
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,MID,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,DEF,False
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,MID,False
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,DEF,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,GKP,False
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,1,74,0,1,0,0,0,0,0,2,0,0,0,FUL,9,22/11/2020,MID,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,14,1,0,0,0,0,0,0,0,0,0,0,FUL,9,22/11/2020,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,76,0,1,0,0,1,1,0,2,0,0,0,FUL,9,22/11/2020,FWD,False
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,DEF,True
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,DEF,True
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,DEF,True
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,GKP,True
"Cairney  Tom Cairney (Fulham, Midfielder)",FUL,5.2,1,58,0,1,0,1,0,1,0,3,0,0,0,EVE,9,22/11/2020,MID,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,MID,True
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,1,58,0,1,1,0,0,0,0,3,0,1,0,EVE,9,22/11/2020,FWD,True
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,1,69,0,1,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,0,32,1,0,1,0,0,0,0,0,0,0,0,EVE,9,22/11/2020,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,90,0,0,0,1,0,1,0,3,0,0,0,EVE,9,22/11/2020,MID,True
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,32,1,0,0,0,0,0,0,0,0,0,0,EVE,9,22/11/2020,FWD,True
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,EVE,9,22/11/2020,MID,True
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,1,90,0,0,0,0,0,0,0,3,0,1,0,EVE,9,22/11/2020,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,21,1,0,0,0,0,0,0,0,0,0,0,EVE,9,22/11/2020,MID,True
