Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,90,3,1,0,0,0,0,1,1,5,5,18.0,22/11/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,90,5,6,0,2,0,1,2,0,29,17,5.3,22/11/2020
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,45,2,1,0,0,0,0,0,2,3,3,15.0,22/11/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,90,8,4,2,2,0,0,0,3,13,13,6.9,22/11/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,4,9,0,0,0,0,0,0,21,9,10.0,22/11/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,11,0,0,0,0,0,0,0,29,17,5.3,22/11/2020
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,1,0,0,0,0,0,0,0,0,3,3,0.3,22/11/2020
"Nelson (Reiss)  Reiss Nelson (Arsenal, Forward)",ARS,5.1,45,3,1,0,0,0,0,0,1,1,1,45.0,22/11/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,51,2,1,1,0,0,0,1,3,-7,-7,0.0,22/11/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,32,2,2,0,0,0,0,2,1,4,4,8.0,22/11/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,90,10,4,1,0,1,0,0,1,27,15,6.0,22/11/2020
"Willock  Joseph Willock (Arsenal, Midfielder)",ARS,6.0,57,4,1,0,0,0,0,0,2,2,2,28.5,22/11/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,90,6,6,0,0,0,0,0,0,10,10,9.0,22/11/2020
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,5,8,0,2,0,0,0,0,22,10,9.0,22/11/2020
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,6,5,0,4,0,1,2,0,29,17,5.3,22/11/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,70,5,0,0,4,0,0,0,0,22,10,7.0,22/11/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,0,3,0,0,0,0,0,1,-1,-1,0.0,22/11/2020
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,10,7,0,6,0,0,0,0,23,11,8.2,22/11/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,7,2,0,4,1,0,1,0,21,9,10.0,22/11/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,6,2,1,0,2,0,1,1,10,10,9.0,22/11/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,80,9,0,0,2,1,0,3,2,12,12,6.7,22/11/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,2,1,0,4,0,0,2,0,9,9,10.0,22/11/2020
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,90,7,1,1,4,0,0,3,0,28,16,5.6,22/11/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,3,2,0,0,0,0,0,0,24,12,7.5,22/11/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,20,0,0,1,0,0,0,2,0,3,3,6.7,22/11/2020
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,12,1,0,4,0,0,1,0,9,9,10.0,22/11/2020
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,10,2,0,0,0,1,1,1,0,7,7,1.4,22/11/2020
