Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,1,62,0,1,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,DEF,True
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,DEF,True
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,1,76,0,1,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,DEF,True
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,MID,True
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,0,25,1,0,0,0,0,0,0,0,0,0,0,WHU,9,22/11/2020,FWD,True
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,DEF,True
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,MID,True
"Lowe  Max Lowe (Sheffield United, Defender)",SHU,4.2,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,DEF,True
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,14,1,0,0,0,0,0,0,0,0,0,0,WHU,9,22/11/2020,MID,True
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,FWD,True
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,FWD,True
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,1,65,0,1,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,MID,True
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,9,22/11/2020,GKP,True
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,0,28,1,0,0,0,0,0,0,0,0,0,0,WHU,9,22/11/2020,DEF,True
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,DEF,False
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,89,0,1,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,MID,False
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,DEF,False
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,DEF,False
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,GKP,False
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,76,0,1,0,0,1,1,1,0,0,0,0,SHU,9,22/11/2020,MID,False
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,1,90,0,0,1,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,FWD,False
"Lanzini  Manuel Lanzini (West Ham United, Midfielder)",WHU,6.0,0,14,1,0,0,0,0,0,0,0,0,0,0,SHU,9,22/11/2020,MID,False
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,DEF,False
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,SHU,9,22/11/2020,MID,False
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,DEF,False
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,MID,False
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,9,22/11/2020,MID,False
